Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Steven Adams\adamsst01,C,26,OKC,51,51,1382,233,400,.583,1,3,.333,232,397,.584,.584,97,160,.606,173,313,486,128,40,58,76,100,564
2,Bam Adebayo\adebaba01,PF,22,MIA,56,56,1927,350,606,.578,1,12,.083,349,594,.588,.578,197,288,.684,146,438,584,282,71,66,154,136,898
3,LaMarcus Aldridge\aldrila01,C,34,SAS,52,52,1717,381,770,.495,60,153,.392,321,617,.520,.534,155,187,.829,103,287,390,127,33,83,73,127,977
4,Nickeil Alexander-Walker\alexani01,SG,21,NOP,41,0,501,77,227,.339,40,117,.342,37,110,.336,.427,17,28,.607,8,72,80,74,11,7,40,46,211
5,Grayson Allen\allengr01,SG,24,MEM,30,0,498,79,176,.449,33,91,.363,46,85,.541,.543,30,35,.857,5,61,66,43,6,1,23,36,221
6,Jarrett Allen\allenja01,C,21,BRK,55,51,1447,233,366,.637,0,5,.000,233,361,.645,.637,132,209,.632,168,358,526,77,33,79,62,129,598
7,Kadeem Allen\allenka01,SG,27,NYK,10,0,117,19,44,.432,5,16,.313,14,28,.500,.489,7,11,.636,2,7,9,21,5,2,8,7,50
8,Al-Farouq Aminu\aminual01,PF,29,ORL,18,2,380,25,86,.291,9,36,.250,16,50,.320,.343,19,29,.655,24,63,87,21,18,8,17,27,78
9,Justin Anderson\anderju01,SF,26,BRK,3,0,17,1,6,.167,0,3,.000,1,3,.333,.167,1,2,.500,0,2,2,0,0,1,0,2,3
10,Kyle Anderson\anderky01,PF,26,MEM,50,11,913,113,224,.504,10,45,.222,103,179,.575,.527,38,58,.655,48,162,210,108,39,24,45,75,274
11,Ryan Anderson\anderry01,PF,31,HOU,2,0,14,2,7,.286,1,5,.200,1,2,.500,.357,0,0,,0,7,7,2,1,0,1,1,5
12,Giannis Antetokounmpo\antetgi01,PF,25,MIL,50,50,1543,554,1003,.552,75,241,.311,479,762,.629,.590,319,519,.615,120,559,679,292,55,53,182,155,1502
13,Kostas Antetokounmpo\antetko01,PF,22,LAL,3,0,5,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,0,0,0
14,Thanasis Antetokounmpo\antetth01,SF,27,MIL,15,1,61,13,23,.565,0,3,.000,13,20,.650,.565,4,9,.444,6,1,7,6,2,1,5,9,30
15,Carmelo Anthony\anthoca01,PF,35,POR,42,42,1369,247,589,.419,62,172,.360,185,417,.444,.472,98,116,.845,54,220,274,62,34,20,72,124,654
16,OG Anunoby\anunoog01,SF,22,TOR,56,55,1640,229,459,.499,68,187,.364,161,272,.592,.573,46,69,.667,61,239,300,86,66,40,71,132,572
17,Ryan Arcidiacono\arcidry01,PG,25,CHI,54,3,849,80,202,.396,50,130,.385,30,72,.417,.520,25,34,.735,17,82,99,88,23,3,35,87,235
18,Trevor Ariza\arizatr01,SF,34,TOT,45,13,1209,111,257,.432,59,164,.360,52,93,.559,.547,37,45,.822,29,179,208,71,58,12,45,93,318
18,Trevor Ariza\arizatr01,SF,34,SAC,32,0,791,64,165,.388,43,122,.352,21,43,.488,.518,21,27,.778,21,125,146,50,35,7,28,63,192
18,Trevor Ariza\arizatr01,SF,34,POR,13,13,418,47,92,.511,16,42,.381,31,50,.620,.598,16,18,.889,8,54,62,21,23,5,17,30,126
19,D.J. Augustin\augusdj01,PG,32,ORL,40,6,1029,128,328,.390,47,138,.341,81,190,.426,.462,114,130,.877,15,81,96,184,28,1,55,45,417
20,Deandre Ayton\aytonde01,C,21,PHO,25,20,831,213,392,.543,0,2,.000,213,390,.546,.543,50,64,.781,106,199,305,51,18,41,53,79,476
21,Dwayne Bacon\bacondw01,SG,24,CHO,39,11,687,85,244,.348,19,67,.284,66,177,.373,.387,35,53,.660,15,85,100,52,23,2,37,52,224
22,Marvin Bagley\baglema01,PF,20,SAC,13,6,334,78,167,.467,4,22,.182,74,145,.510,.479,25,31,.806,29,68,97,10,6,12,18,43,185
23,Lonzo Ball\balllo01,PG,22,NOP,49,40,1570,216,540,.400,114,311,.367,102,229,.445,.506,30,53,.566,54,241,295,333,65,24,145,96,576
24,Mo Bamba\bambamo01,C,21,ORL,51,0,758,112,240,.467,29,87,.333,83,153,.542,.527,22,32,.688,75,175,250,35,20,72,39,97,275
25,J.J. Barea\bareajo01,PG,35,DAL,18,4,282,62,139,.446,23,54,.426,39,85,.459,.529,14,14,1.000,9,31,40,68,3,2,25,12,161
26,Harrison Barnes\barneha02,PF,27,SAC,56,56,1947,286,627,.456,81,214,.379,205,413,.496,.521,175,218,.803,52,217,269,127,33,9,68,71,828
27,RJ Barrett\barrerj01,SG,19,NYK,46,45,1399,229,589,.389,48,156,.308,181,433,.418,.430,125,206,.607,45,188,233,111,44,16,97,104,631
28,Will Barton\bartowi01,SF,29,DEN,50,50,1656,284,638,.445,90,237,.380,194,401,.484,.516,90,119,.756,73,251,324,190,53,26,71,106,748
29,Keita Bates-Diop\bateske01,SF,24,TOT,39,0,665,89,208,.428,31,94,.330,58,114,.509,.502,49,69,.710,21,91,112,30,17,21,14,38,258
29,Keita Bates-Diop\bateske01,SF,24,MIN,37,0,646,87,206,.422,31,94,.330,56,112,.500,.498,46,65,.708,21,89,110,30,17,20,14,36,251
29,Keita Bates-Diop\bateske01,SF,24,DEN,2,0,19,2,2,1.000,0,0,,2,2,1.000,1.000,3,4,.750,0,2,2,0,0,1,0,2,7
30,Nicolas Batum\batumni01,SF,31,CHO,22,3,505,28,81,.346,14,49,.286,14,32,.438,.432,9,10,.900,25,75,100,66,17,8,22,41,79
31,Aron Baynes\baynear01,C,33,PHO,35,25,780,150,304,.493,43,129,.333,107,175,.611,.564,44,61,.721,54,137,191,63,8,20,41,124,387
32,Kent Bazemore\bazemke01,SF-SG,30,TOT,56,21,1386,157,431,.364,70,207,.338,87,224,.388,.445,91,116,.784,21,205,226,73,61,36,72,156,475
32,Kent Bazemore\bazemke01,SF,30,POR,43,21,1111,113,326,.347,56,171,.327,57,155,.368,.433,58,72,.806,13,159,172,61,45,31,60,121,340
32,Kent Bazemore\bazemke01,SG,30,SAC,13,0,275,44,105,.419,14,36,.389,30,69,.435,.486,33,44,.750,8,46,54,12,16,5,12,35,135
33,Darius Bazley\bazleda01,PF,19,OKC,53,8,909,88,230,.383,30,100,.300,58,130,.446,.448,32,47,.681,21,175,196,29,20,35,40,45,238
34,Bradley Beal\bealbr01,SG,26,WAS,48,48,1709,483,1066,.453,123,384,.320,360,682,.528,.511,330,391,.844,47,164,211,290,53,19,161,108,1419
35,Malik Beasley\beaslma01,SG,23,TOT,46,5,914,157,388,.405,78,207,.377,79,181,.436,.505,43,50,.860,15,94,109,59,34,8,46,63,435
35,Malik Beasley\beaslma01,SG,23,DEN,41,0,746,117,301,.389,58,161,.360,59,140,.421,.485,33,38,.868,9,68,77,48,31,6,36,50,325
35,Malik Beasley\beaslma01,SG,23,MIN,5,5,168,40,87,.460,20,46,.435,20,41,.488,.575,10,12,.833,6,26,32,11,3,2,10,13,110
36,Marco Belinelli\belinma01,SG,33,SAS,48,0,725,94,250,.376,49,140,.350,45,110,.409,.474,32,41,.780,3,75,78,62,9,0,14,38,269
37,Jordan Bell\belljo01,C,25,MIN,27,0,235,32,60,.533,2,9,.222,30,51,.588,.550,17,29,.586,28,50,78,14,2,10,18,17,83
38,DeAndre' Bembry\bembrde01,SG,25,ATL,43,4,915,104,228,.456,15,65,.231,89,163,.546,.489,26,48,.542,34,118,152,81,55,19,60,84,249
39,Dragan Bender\bendedr01,SF,22,TOT,8,0,111,12,29,.414,6,14,.429,6,15,.400,.517,2,5,.400,2,23,25,12,0,6,5,16,32
39,Dragan Bender\bendedr01,SF,22,MIL,7,0,91,10,21,.476,4,9,.444,6,12,.500,.571,2,3,.667,0,20,20,9,0,5,5,16,26
39,Dragan Bender\bendedr01,SF,22,GSW,1,0,20,2,8,.250,2,5,.400,0,3,.000,.375,0,2,.000,2,3,5,3,0,1,0,0,6
40,Dāvis Bertāns\bertada01,PF,27,WAS,46,4,1354,222,510,.435,163,386,.422,59,124,.476,.595,85,98,.867,33,182,215,82,33,30,48,116,692
41,Patrick Beverley\beverpa01,PG,31,LAC,40,40,1121,125,291,.430,64,176,.364,61,115,.530,.540,24,38,.632,51,180,231,159,49,25,54,127,338
42,Khem Birch\birchkh01,C,27,ORL,38,24,773,56,113,.496,0,1,.000,56,112,.500,.496,41,67,.612,70,110,180,35,16,21,23,73,153
43,Goga Bitadze\bitadgo01,C,20,IND,43,2,371,54,112,.482,4,26,.154,50,86,.581,.500,20,29,.690,22,66,88,20,4,29,21,50,132
44,Bismack Biyombo\biyombi01,C,27,CHO,47,26,890,133,246,.541,0,0,,133,246,.541,.541,80,133,.602,109,161,270,41,9,39,43,99,346
45,Nemanja Bjelica\bjeline01,PF,31,SAC,56,53,1593,258,534,.483,115,257,.447,143,277,.516,.591,52,63,.825,94,263,357,157,49,32,81,172,683
46,Eric Bledsoe\bledser01,PG,30,MIL,48,48,1300,278,577,.482,60,175,.343,218,402,.542,.534,136,164,.829,35,192,227,260,45,23,115,102,752
47,Bogdan Bogdanović\bogdabo01,SG,27,SAC,45,12,1271,236,549,.430,116,320,.363,120,229,.524,.536,61,86,.709,16,126,142,139,42,11,79,94,649
48,Bojan Bogdanović\bogdabo02,SF,30,UTA,55,55,1831,373,831,.449,172,408,.422,201,423,.475,.552,221,246,.898,33,197,230,113,31,6,140,96,1139
49,Jonah Bolden\boldejo01,PF,24,TOT,7,0,47,4,11,.364,0,4,.000,4,7,.571,.364,2,4,.500,3,6,9,0,3,2,2,10,10
49,Jonah Bolden\boldejo01,PF,24,PHI,4,0,14,2,3,.667,0,1,.000,2,2,1.000,.667,0,2,.000,0,1,1,0,1,0,2,4,4
49,Jonah Bolden\boldejo01,PF,24,PHO,3,0,33,2,8,.250,0,3,.000,2,5,.400,.250,2,2,1.000,3,5,8,0,2,2,0,6,6
50,Marques Bolden\boldema01,C,21,CLE,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,1,0,0,1,0
51,Jordan Bone\bonejo01,PG,22,DET,10,0,53,5,20,.250,2,10,.200,3,10,.300,.300,0,0,,0,4,4,8,1,0,2,6,12
52,Isaac Bonga\bongais01,SF,20,WAS,50,35,885,87,163,.534,18,45,.400,69,118,.585,.589,46,58,.793,53,107,160,54,33,18,35,116,238
53,Devin Booker\bookede01,SG,23,PHO,54,54,1938,480,972,.494,107,297,.360,373,675,.553,.549,357,387,.922,26,202,228,342,40,13,208,158,1424
54,Chris Boucher\bouchch01,PF,27,TOR,49,0,638,106,230,.461,23,84,.274,83,146,.568,.511,73,93,.785,83,132,215,22,18,49,20,92,308
55,Brian Bowen\bowenbr02,SG,21,IND,3,0,10,1,4,.250,0,1,.000,1,3,.333,.250,0,0,,0,1,1,0,0,1,0,0,2
56,Ky Bowman\bowmaky01,PG,22,GSW,42,12,935,120,296,.405,31,101,.307,89,195,.456,.458,32,39,.821,24,86,110,126,41,9,60,90,303
57,Avery Bradley\bradlav01,SG,29,LAL,41,36,969,143,310,.461,47,126,.373,96,184,.522,.537,16,20,.800,17,77,94,47,35,4,38,95,349
58,Tony Bradley\bradlto01,C,22,UTA,42,2,430,80,125,.640,0,0,,80,125,.640,.640,21,34,.618,72,105,177,11,10,17,22,85,181
59,Jarrell Brantley\brantja01,PF,23,UTA,3,0,11,0,0,,0,0,,0,0,,,0,0,,0,5,5,1,0,2,1,1,0
60,Ignas Brazdeikis\brazdig01,SF,21,NYK,9,0,53,6,22,.273,1,9,.111,5,13,.385,.295,4,5,.800,2,3,5,4,0,1,2,3,17
61,Mikal Bridges\bridgmi01,SF,23,PHO,57,16,1466,170,338,.503,41,124,.331,129,214,.603,.564,79,95,.832,49,174,223,93,86,32,55,127,460
62,Miles Bridges\bridgmi02,SF,21,CHO,56,55,1725,281,642,.438,88,258,.341,193,384,.503,.506,89,111,.802,78,234,312,98,36,40,84,118,739
63,Oshae Brissett\brissos01,SF,21,TOR,19,0,135,13,36,.361,3,15,.200,10,21,.476,.403,8,10,.800,9,17,26,7,4,1,7,18,37
64,Ryan Broekhoff\broekry01,SG,29,DAL,17,1,180,22,59,.373,20,51,.392,2,8,.250,.542,7,8,.875,5,38,43,11,5,4,6,15,71
65,Malcolm Brogdon\brogdma01,PG,27,IND,43,43,1327,257,597,.430,56,182,.308,201,415,.484,.477,130,145,.897,38,167,205,311,30,8,106,79,700
66,Dillon Brooks\brookdi01,SG,24,MEM,56,56,1585,315,774,.407,112,298,.376,203,476,.426,.479,122,150,.813,54,135,189,113,52,23,92,213,864
67,Bruce Brown\brownbr01,SG,23,DET,56,42,1572,189,427,.443,31,92,.337,158,335,.472,.479,87,118,.737,58,207,265,217,63,29,97,157,496
68,Charlie Brown\brownch02,SG,22,ATL,10,0,40,6,19,.316,3,9,.333,3,10,.300,.395,5,5,1.000,2,2,4,2,2,2,3,3,20
69,Jaylen Brown\brownja02,SF,23,BOS,46,46,1552,346,698,.496,96,253,.379,250,445,.562,.564,146,198,.737,50,245,295,99,53,14,111,140,934
70,Moses Brown\brownmo01,C,20,POR,9,0,33,4,10,.400,0,0,,4,10,.400,.400,3,8,.375,3,11,14,1,1,1,3,7,11
71,Sterling Brown\brownst02,SF,24,MIL,39,0,565,70,185,.378,31,95,.326,39,90,.433,.462,26,33,.788,26,121,147,37,21,6,32,41,197
72,Troy Brown\browntr01,SG,20,WAS,52,14,1333,206,446,.462,41,122,.336,165,324,.509,.508,76,101,.752,58,229,287,121,71,5,55,97,529
73,Jalen Brunson\brunsja01,PG,23,DAL,57,16,1022,181,388,.466,43,120,.358,138,268,.515,.522,61,75,.813,22,112,134,188,22,4,66,74,466
