Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
52,Isaac Bonga\bongais01,SF,20,WAS,50,885,11.2,.631,.276,.356,6.3,13.6,9.8,7.8,1.7,1.8,15.7,10.5,,1.2,0.3,1.6,.085,,-0.7,0.0,-0.7,0.3
53,Devin Booker\bookede01,SG,23,PHO,54,1938,20.5,.623,.306,.398,1.4,11.8,6.5,29.6,1.0,0.6,15.4,29.6,,4.6,1.2,5.7,.141,,3.8,-1.9,1.9,1.9
54,Chris Boucher\bouchch01,PF,27,TOR,49,638,20.2,.568,.365,.404,14.1,21.2,17.8,5.1,1.3,7.4,6.9,19.5,,1.6,1.4,2.9,.221,,0.0,2.5,2.5,0.7
55,Brian Bowen\bowenbr02,SG,21,IND,3,10,1.0,.250,.250,.000,0.0,11.0,5.5,0.0,0.0,8.8,0.0,17.6,,0.0,0.0,0.0,-0.154,,-12.8,-0.6,-13.4,0.0
56,Ky Bowman\bowmaky01,PG,22,GSW,42,935,9.4,.484,.341,.132,2.7,10.3,6.3,20.2,2.1,0.9,16.1,17.0,,-0.5,0.5,0.0,.000,,-3.3,-1.1,-4.4,-0.6
57,Avery Bradley\bradlav01,SG,29,LAL,41,969,9.1,.547,.406,.065,2.0,8.5,5.3,6.5,1.7,0.4,10.7,15.6,,0.3,1.1,1.4,.067,,-1.6,-0.5,-2.1,0.0
58,Tony Bradley\bradlto01,C,22,UTA,42,430,19.7,.647,.000,.272,19.1,25.4,22.4,3.9,1.1,3.3,13.6,16.5,,1.2,0.7,1.9,.214,,0.1,0.7,0.9,0.3
59,Jarrell Brantley\brantja01,PF,23,UTA,3,11,9.4,,,,0.0,47.2,24.7,10.9,0.0,15.2,100.0,4.0,,0.0,0.0,0.0,.064,,-11.2,13.2,2.0,0.0
60,Ignas Brazdeikis\brazdig01,SF,21,NYK,9,53,3.3,.351,.409,.227,3.8,6.2,5.0,10.7,0.0,1.8,7.6,21.0,,-0.1,0.0,-0.1,-0.108,,-6.7,-4.0,-10.7,-0.1
61,Mikal Bridges\bridgmi01,SF,23,PHO,57,1466,12.8,.606,.367,.281,3.6,13.4,8.4,8.7,2.8,1.9,12.6,12.6,,1.6,1.8,3.4,.111,,-0.4,2.3,1.8,1.4
